t,Temp,P,KE,PE,E,Vol
28530,318.495712458561,3169.13245759783,20.7079073930588,-2133.44916833288,-2112.74126093982,7745.27052663881
28540,324.477179913513,3191.7711702808,21.0968095643803,-2133.83825798379,-2112.74144841941,7745.27052663881
28550,331.542657448861,3333.82993595015,21.5561917436891,-2134.29782351291,-2112.74163176922,7745.27052663881
28560,335.540120394012,3604.27178703619,21.8160982015701,-2134.55778418345,-2112.74168598188,7745.27052663881
28570,335.081391182609,3949.454127984,21.7862726131661,-2134.52789769091,-2112.74162507774,7745.27052663881
28580,331.406629043222,4249.31413929491,21.5473474688163,-2134.28888309923,-2112.74153563041,7745.27052663881
28590,326.709727883994,4410.6740401196,21.2419650399954,-2133.98340073695,-2112.74143569696,7745.27052663881
28600,323.384299539155,4407.84321774088,21.0257528289248,-2133.76710692112,-2112.74135409219,7745.27052663881
28610,323.225478349639,4257.46224003972,21.0154266161818,-2133.75677067291,-2112.74134405673,7745.27052663881
28620,326.326617790979,4037.25717583525,21.2170560443098,-2133.95848713378,-2112.74143108947,7745.27052663881
28630,330.702366307025,3853.96038780715,21.5015578178066,-2134.24311375155,-2112.74155593375,7745.27052663881
28640,333.554731020675,3826.37896949159,21.6870124472757,-2134.42863434127,-2112.74162189399,7745.27052663881
28650,333.480026089974,4017.96152926931,21.6821552930779,-2134.42370928134,-2112.74155398826,7745.27052663881
28660,331.828038192875,4401.08678596655,21.5747465869339,-2134.31618952258,-2112.74144293564,7745.27052663881
28670,331.03871023736,4901.67718646887,21.5234261780048,-2134.26482457481,-2112.7413983968,7745.27052663881
28680,332.292318732614,5394.31330520283,21.6049331107872,-2134.34636558065,-2112.74143246986,7745.27052663881
28690,335.037523218589,5700.88430790328,21.7834204123329,-2134.52491302441,-2112.74149261208,7745.27052663881
28700,337.922979699596,5792.91847151399,21.9710265974653,-2134.71257424478,-2112.74154764732,7745.27052663881
28710,339.491610107795,5791.33727183427,22.073015578655,-2134.81461370709,-2112.74159812843,7745.27052663881
28720,338.521361846899,5814.79201134888,22.0099321199176,-2134.75152306645,-2112.74159094653,7745.27052663881
28730,335.045654691002,5893.44244756006,21.7839491032103,-2134.52546239292,-2112.74151328971,7745.27052663881
28740,330.770683024511,5970.16333583172,21.5059996240972,-2134.24739430698,-2112.74139468288,7745.27052663881
28750,328.295407447001,5970.64482204068,21.345062520625,-2134.08638849492,-2112.74132597429,7745.27052663881
28760,329.189549497971,5805.3333849682,21.403197716998,-2134.14456159414,-2112.74136387714,7745.27052663881
28770,332.669103350225,5497.48131131813,21.6294308376432,-2134.37091547822,-2112.74148464057,7745.27052663881
28780,336.122250578754,5161.39732975823,21.8539470563107,-2134.59553366227,-2112.74158660596,7745.27052663881
28790,337.237092851296,4884.37572580271,21.9264317072325,-2134.66803819168,-2112.74160648444,7745.27052663881
28800,335.465056777121,4796.20851679659,21.8112177263663,-2134.55278145697,-2112.74156373061,7745.27052663881
28810,331.802400892182,5013.32721270836,21.5730797046878,-2134.31458114271,-2112.74150143802,7745.27052663881
28820,327.888366841647,5493.83406020322,21.3185976144076,-2134.06003587114,-2112.74143825673,7745.27052663881
28830,325.306274633773,6023.22274938842,21.1507155229714,-2133.89211567829,-2112.74140015532,7745.27052663881
28840,325.001467037398,6404.69819434928,21.1308975874968,-2133.87229746381,-2112.74139987631,7745.27052663881
28850,326.8985245473,6594.28311131577,21.2542401936848,-2133.99569550038,-2112.7414553067,7745.27052663881
28860,329.723121458801,6640.51721308347,21.4378894202775,-2134.17942116594,-2112.74153174566,7745.27052663881
28870,331.760816517987,6572.35027697929,21.570375977962,-2134.31194863156,-2112.7415726536,7745.27052663881
28880,332.126321380509,6528.9366337095,21.5941403193605,-2134.33568719049,-2112.74154687113,7745.27052663881
28890,331.554582023127,6602.78527138568,21.5569670539051,-2134.29841689148,-2112.74144983757,7745.27052663881
28900,332.167609961673,6734.38406669272,21.5968248142585,-2134.33821449401,-2112.74138967975,7745.27052663881
28910,335.156082173772,6736.06187461087,21.7911288610451,-2134.53259035037,-2112.74146148932,7745.27052663881
28920,338.819730474787,6519.32835718405,22.029331407486,-2134.77094410119,-2112.7416126937,7745.27052663881
28930,339.633738013272,6136.19571305239,22.0822564299112,-2134.82397395238,-2112.74171752247,7745.27052663881
28940,335.150620525163,5695.18902081965,21.790773756379,-2134.5324418377,-2112.74166808132,7745.27052663881
28950,326.519275864869,5288.61620305323,21.2295822586248,-2133.97103616045,-2112.74145390183,7745.27052663881
28960,318.53862382384,4984.53720624751,20.7106973978957,-2133.45191367711,-2112.74121627921,7745.27052663881
28970,316.34897919614,4780.19546846949,20.568331405512,-2133.30949553322,-2112.74116412771,7745.27052663881
28980,321.200761367457,4595.22860443516,20.8837838651993,-2133.62508267091,-2112.74129880571,7745.27052663881
28990,330.234979690876,4359.11594145795,21.4711693435341,-2134.21263616562,-2112.74146682208,7745.27052663881
29000,339.411761941056,4102.90489340279,22.0678240222928,-2134.80943588802,-2112.74161186573,7745.27052663881
29010,345.086809176455,3894.29313205623,22.4368034088432,-2135.17851740102,-2112.74171399218,7745.27052663881
29020,344.851160560029,3825.45017997267,22.421482041756,-2135.16318881594,-2112.74170677418,7745.27052663881
29030,338.813787678981,4007.54074699528,22.0289450196623,-2134.77054059898,-2112.74159557932,7745.27052663881
29040,329.733341268118,4450.72048386707,21.4385538903367,-2134.17996502199,-2112.74141113166,7745.27052663881
29050,322.002212206739,5021.41263135283,20.9358924780024,-2133.67715782928,-2112.74126535128,7745.27052663881
29060,319.070650887208,5531.59513547769,20.7452886552592,-2133.48655336857,-2112.74126471331,7745.27052663881
29070,321.254162410745,5840.33260630647,20.8872558863784,-2133.62861909041,-2112.74136320403,7745.27052663881
29080,326.5063062034,5781.32380240088,21.2287389990827,-2133.97021555569,-2112.74147655661,7745.27052663881
29090,332.176371252276,5344.14260828857,21.5973944545624,-2134.33897109837,-2112.7415766438,7745.27052663881
29100,335.882436645663,4666.31061885132,21.8383548692772,-2134.57998394754,-2112.74162907826,7745.27052663881
29110,336.285751046264,3994.28274832612,21.864577505662,-2134.60619186721,-2112.74161436155,7745.27052663881
29120,333.653449311639,3462.33616557988,21.6934308985996,-2134.43495511026,-2112.74152421166,7745.27052663881
29130,329.874369949368,3176.27346899592,21.4477232723938,-2134.18915357095,-2112.74143029856,7745.27052663881
29140,327.113750585216,3209.29592560387,21.2682337285658,-2134.00959929435,-2112.74136556578,7745.27052663881
29150,326.909627741664,3554.87858412495,21.2549620995431,-2133.99629190457,-2112.74132980502,7745.27052663881
29160,330.007334622356,4137.69930376542,21.4563683499477,-2134.19770708757,-2112.74133873762,7745.27052663881
29170,335.932905476159,4782.00373421665,21.8416362442762,-2134.58306664808,-2112.74143040381,7745.27052663881
29180,342.213644037962,5404.74465603153,22.2499963804107,-2134.99161368192,-2112.74161730151,7745.27052663881
29190,344.646776080868,5996.31327940932,22.4081934017477,-2135.14994294519,-2112.74174954344,7745.27052663881
29200,340.610563124856,6456.06253525189,22.1457675013594,-2134.88742162496,-2112.7416541236,7745.27052663881
29210,332.422935904169,6618.11496526799,21.6134255588382,-2134.35482316866,-2112.74139760983,7745.27052663881
29220,325.9356860002,6417.96301784445,21.1916384986293,-2133.93283508449,-2112.74119658586,7745.27052663881
29230,325.772582849711,5930.63035916245,21.1810338819776,-2133.9222414671,-2112.74120758512,7745.27052663881
29240,331.58671976098,5311.1433613132,21.5590565806185,-2134.30050866242,-2112.7414520818,7745.27052663881
29250,337.843396418102,4746.31664754146,21.965852263373,-2134.70757801417,-2112.7417257508,7745.27052663881
29260,338.357548766822,4464.86694399776,21.9992813451683,-2134.74106749976,-2112.74178615459,7745.27052663881
29270,331.691985797117,4527.18613108456,21.565900752275,-2134.30748644635,-2112.74158569408,7745.27052663881
29280,322.323172315218,4805.1627817348,20.9567606151335,-2133.69805243965,-2112.74129182452,7745.27052663881
29290,316.95506643584,5238.82174037341,20.6077378965286,-2133.348869996,-2112.74113209948,7745.27052663881
29300,319.582096890855,5788.65435546775,20.7785417763086,-2133.51971444303,-2112.74117266672,7745.27052663881
29310,329.310810384971,6303.60185378172,21.4110818395157,-2134.15250551461,-2112.74142367509,7745.27052663881
29320,340.450415993993,6762.2859026448,22.135355078757,-2134.87705028704,-2112.74169520828,7745.27052663881
29330,346.658621930272,7213.81089453936,22.5389992993122,-2135.28079253972,-2112.7417932404,7745.27052663881
29340,345.371531224755,7583.50438845324,22.4553154251069,-2135.19703271884,-2112.74171729373,7745.27052663881
29350,338.29728631381,7806.26308542311,21.9953632098609,-2134.73689102023,-2112.74152781037,7745.27052663881
29360,329.920996392007,7789.96751809098,21.4507548235842,-2134.19208390688,-2112.7413290833,7745.27052663881
29370,324.883449242921,7461.1122661265,21.1232243238918,-2133.8644748445,-2112.74125052061,7745.27052663881
29380,324.969385314321,6868.54835518752,21.1288117027438,-2133.87016241983,-2112.74135071709,7745.27052663881
29390,328.073572544578,6122.06228368772,21.3306392915634,-2134.0721373847,-2112.74149809313,7745.27052663881
29400,330.952341920969,5348.38806899171,21.5178106955114,-2134.25934125543,-2112.74153055992,7745.27052663881
29410,332.616448520573,4738.74312358921,21.6260073336726,-2134.36746031588,-2112.74145298221,7745.27052663881
29420,334.273289995843,4342.15494758232,21.7337316090483,-2134.47514942255,-2112.7414178135,7745.27052663881
29430,336.388855500943,4027.89523952765,21.8712811359333,-2134.61276754086,-2112.74148640493,7745.27052663881
29440,337.546721376801,3695.66335819329,21.9465630891683,-2134.68810148904,-2112.74153839987,7745.27052663881
29450,336.650527365643,3374.06481240228,21.8882944787496,-2134.62979291456,-2112.74149843581,7745.27052663881
29460,334.492342000926,3161.55159576496,21.7479739001,-2134.4894043651,-2112.741430465,7745.27052663881
29470,332.615525944601,3174.47884865362,21.6259473497637,-2134.36735902023,-2112.74141167047,7745.27052663881
29480,331.696037018865,3406.9628475481,21.5661641540149,-2134.30761240302,-2112.74144824901,7745.27052663881
29490,331.276907101314,3780.67494446469,21.5389132266749,-2134.28040737288,-2112.74149414621,7745.27052663881
29500,330.747133112625,4213.69522405877,21.5044684593896,-2134.24595621424,-2112.74148775485,7745.27052663881
29510,330.418958497107,4598.50526499042,21.4831312505008,-2134.22459048058,-2112.74145923008,7745.27052663881
29520,331.005198617019,4808.90740159477,21.5212473244018,-2134.26269790173,-2112.74145057733,7745.27052663881
29530,332.725500908432,4808.40071807863,21.6330976857886,-2134.37455598397,-2112.74145829818,7745.27052663881
29540,335.512892284534,4675.88376399544,21.8143278883523,-2134.55576537051,-2112.74143748216,7745.27052663881
29550,339.627619603048,4512.46044752427,22.0818586240151,-2134.82331261538,-2112.74145399137,7745.27052663881
29560,344.492523476247,4282.13822356706,22.3981642285856,-2135.13971183244,-2112.74154760386,7745.27052663881
29570,347.762261647471,3900.19807651991,22.6107555841383,-2135.35244212569,-2112.74168654156,7745.27052663881
29580,346.366572143087,3378.40272933958,22.5200108491993,-2135.26173375802,-2112.74172290882,7745.27052663881
29590,339.451529606859,2833.89784407667,22.0704096305395,-2134.8120216135,-2112.74161198296,7745.27052663881
29600,329.362710013086,2347.75632967396,21.4144562419039,-2134.1559019098,-2112.74144566789,7745.27052663881
29610,319.901593442874,1926.09571284993,20.7993147561409,-2133.5406020016,-2112.74128724546,7745.27052663881
29620,314.561554496241,1615.09585589503,20.4521168892416,-2133.19333818525,-2112.741221296,7745.27052663881
29630,314.81543804492,1499.77265796513,20.4686238524722,-2133.20989341007,-2112.7412695576,7745.27052663881
29640,319.714077966182,1638.08417286125,20.7871229024544,-2133.52846680339,-2112.74134390094,7745.27052663881
29650,327.424114679921,2034.91581621478,21.2884129356317,-2134.02983006395,-2112.74141712832,7745.27052663881
29660,336.040761684254,2545.45619452675,21.8486488233522,-2134.59015631395,-2112.7415074906,7745.27052663881
29670,343.480937644854,2994.4026706979,22.332393089769,-2135.07398678462,-2112.74159369485,7745.27052663881
29680,347.956635756481,3317.65919506828,22.6233933713722,-2135.36501958591,-2112.74162621453,7745.27052663881
29690,348.997176403434,3572.68502347186,22.6910470901287,-2135.43262247978,-2112.74157538965,7745.27052663881
29700,347.870337015215,3855.97510430051,22.6177824125041,-2135.3592848008,-2112.74150238829,7745.27052663881
29710,346.252859747434,4142.08681196752,22.5126175133818,-2135.25409941354,-2112.74148190015,7745.27052663881
29720,344.666305659295,4349.57871559583,22.4094631730058,-2135.15096652149,-2112.74150334849,7745.27052663881
29730,342.762620769078,4457.42128670919,22.2856896687791,-2135.02719108508,-2112.7415014163,7745.27052663881
29740,340.604164124507,4490.18952039554,22.1453514520958,-2134.88683866692,-2112.74148721482,7745.27052663881
29750,338.575807416358,4559.26421067165,22.0134720539457,-2134.75495861475,-2112.7414865608,7745.27052663881
29760,336.864685737344,4742.78628500398,21.9022185962656,-2134.64368840471,-2112.74146980844,7745.27052663881
29770,335.742592900193,4981.31288981588,21.8292625292003,-2134.57071689833,-2112.74145436913,7745.27052663881
29780,335.251584586734,5188.75736734364,21.797338222886,-2134.53882567655,-2112.74148745366,7745.27052663881
